Video_id,Segment_id,Pred,Pred_binary,Pred_7
-6rXp3zJ3kc,0,-2.03,negative,negative
-6rXp3zJ3kc,1,-0.15,negative,Neutral
-6rXp3zJ3kc,2,-1.73,negative,negative
-9y-fZ3swSY,0,-1.82,negative,negative
-9y-fZ3swSY,1,-0.16,negative,Neutral
-9y-fZ3swSY,2,0.57,positive,slightly positive
-9y-fZ3swSY,3,-1.25,negative,slightly negative
-9y-fZ3swSY,4,-2.97,negative,very negative
-9y-fZ3swSY,5,2.69,positive,very positive
-9y-fZ3swSY,6,2.59,positive,very positive
-9y-fZ3swSY,7,2.48,positive,very positive
-AUZQgSxyPQ,0,-1.93,negative,negative
-HeZS2-Prhc,0,-1.98,negative,negative
-HeZS2-Prhc,1,1.83,positive,positive
-HeZS2-Prhc,2,0.84,positive,slightly positive
-HeZS2-Prhc,3,-0.6,negative,slightly negative
-MeTTeMJBNc,0,2.47,positive,very positive
-MeTTeMJBNc,1,1.35,positive,positive
-MeTTeMJBNc,2,0.48,positive,slightly positive
-MeTTeMJBNc,3,1.1,positive,slightly positive
-RfYyzHpjk4,0,-0.35,negative,Neutral
-RfYyzHpjk4,1,-0.58,negative,slightly negative
-RfYyzHpjk4,2,-1.49,negative,negative
-RfYyzHpjk4,3,-1.32,negative,negative
-UUCSKoHeMA,0,1.37,positive,positive
-UUCSKoHeMA,1,-0.85,negative,slightly negative
-UUCSKoHeMA,2,1.24,positive,slightly positive
-UUCSKoHeMA,3,0.6,positive,slightly positive
-cEhr0cQcDM,0,-2.24,negative,very negative
-cEhr0cQcDM,1,0.31,positive,Neutral
-ri04Z7vwnc,0,2.2,positive,very positive
-ri04Z7vwnc,1,-0.38,negative,Neutral
-ri04Z7vwnc,2,-1.51,negative,negative
-ri04Z7vwnc,3,-2.88,negative,very negative
-ri04Z7vwnc,4,1.02,positive,slightly positive
-ri04Z7vwnc,5,0.95,positive,slightly positive
-rxZxtG0xmY,0,0.35,positive,Neutral
-rxZxtG0xmY,1,2.58,positive,very positive
-s9qJ7ATP7w,0,-0.03,negative,Neutral
-s9qJ7ATP7w,1,1.46,positive,positive
-s9qJ7ATP7w,2,2.1,positive,positive
-s9qJ7ATP7w,3,1.61,positive,positive
-s9qJ7ATP7w,4,-1.84,negative,negative
-s9qJ7ATP7w,5,2.91,positive,very positive
-s9qJ7ATP7w,6,-1.34,negative,negative
-s9qJ7ATP7w,7,-1.59,negative,negative
-s9qJ7ATP7w,8,2.27,positive,very positive
