Video_id,Segment_id,Pred,Pred_binary,Pred_7
c7UH_rxdZv4,0,-0.03,negative,Neutral
c7UH_rxdZv4,1,-0.21,negative,Neutral
c7UH_rxdZv4,2,-2.43,negative,very negative
c7UH_rxdZv4,3,-1.11,negative,slightly negative
c7UH_rxdZv4,4,1.6,positive,positive
c7UH_rxdZv4,5,-0.45,negative,slightly negative
c7UH_rxdZv4,6,-2.92,negative,very negative
c7UH_rxdZv4,7,0.88,positive,slightly positive
c7UH_rxdZv4,8,2.4,positive,very positive
c7UH_rxdZv4,9,-0.23,negative,Neutral
c7UH_rxdZv4,10,0.29,positive,Neutral
c7UH_rxdZv4,11,2.86,positive,very positive
c7UH_rxdZv4,12,-0.3,negative,Neutral
c7UH_rxdZv4,13,1.73,positive,positive
c7UH_rxdZv4,14,2.32,positive,very positive
c7UH_rxdZv4,15,-1.16,negative,slightly negative
c7UH_rxdZv4,16,1.46,positive,positive
c7UH_rxdZv4,17,0.75,positive,slightly positive
c7UH_rxdZv4,18,-1.18,negative,slightly negative
c7UH_rxdZv4,19,-1.45,negative,negative
c7UH_rxdZv4,20,2.23,positive,very positive
c7UH_rxdZv4,21,-0.93,negative,slightly negative
c7UH_rxdZv4,22,2.47,positive,very positive
c7UH_rxdZv4,23,-0.86,negative,slightly negative
c7UH_rxdZv4,24,0.13,positive,Neutral
c7UH_rxdZv4,25,-1.23,negative,slightly negative
c7UH_rxdZv4,26,-1.71,negative,negative
c7UH_rxdZv4,27,0.96,positive,slightly positive
c7UH_rxdZv4,28,-2.49,negative,very negative
c7UH_rxdZv4,29,0.9,positive,slightly positive
c7UH_rxdZv4,30,-2.56,negative,very negative
c7UH_rxdZv4,31,0.95,positive,slightly positive
c7UH_rxdZv4,32,1.9,positive,positive
cM3Yna7AavY,0,0.13,positive,Neutral
cM3Yna7AavY,1,1.05,positive,slightly positive
cM3Yna7AavY,2,-2.92,negative,very negative
cM3Yna7AavY,3,2.52,positive,very positive
cM3Yna7AavY,4,-2.5,negative,very negative
cM3Yna7AavY,5,-0.26,negative,Neutral
cM3Yna7AavY,6,0.69,positive,slightly positive
cM3Yna7AavY,7,1.61,positive,positive
cM3Yna7AavY,8,-2.03,negative,negative
cM3Yna7AavY,9,2.66,positive,very positive
cM3Yna7AavY,10,2.96,positive,very positive
cM3Yna7AavY,11,-1.22,negative,slightly negative
cM3Yna7AavY,12,1.16,positive,slightly positive
cM3Yna7AavY,13,0.47,positive,slightly positive
cM3Yna7AavY,14,0.45,positive,slightly positive
cM3Yna7AavY,15,-1.45,negative,negative
cW1FSBF59ik,0,-0.64,negative,slightly negative
cW1FSBF59ik,1,-2.46,negative,very negative
cW1FSBF59ik,2,1.32,positive,positive
cW1FSBF59ik,3,1.35,positive,positive
cW1FSBF59ik,4,0.5,positive,slightly positive
cW1FSBF59ik,5,1.69,positive,positive
cW1FSBF59ik,6,-1.6,negative,negative
cW1FSBF59ik,7,0.36,positive,Neutral
cW1FSBF59ik,8,-2.6,negative,very negative
cW1FSBF59ik,9,1.53,positive,positive
cW1FSBF59ik,10,-0.61,negative,slightly negative
cW1FSBF59ik,11,-2.96,negative,very negative
cW1FSBF59ik,12,-1.51,negative,negative
cW1FSBF59ik,13,0.35,positive,Neutral
cW1FSBF59ik,14,-1.49,negative,negative
cW1FSBF59ik,15,2.11,positive,positive
cW1FSBF59ik,16,-0.05,negative,Neutral
cW1FSBF59ik,17,0.14,positive,Neutral
cW1FSBF59ik,18,-0.11,negative,Neutral
cW1FSBF59ik,19,1.74,positive,positive
cW1FSBF59ik,20,-1.24,negative,slightly negative
cW1FSBF59ik,21,-0.48,negative,slightly negative
cW1FSBF59ik,22,-1.5,negative,negative
cW1FSBF59ik,23,-1.22,negative,slightly negative
cXypl4FnoZo,0,-0.22,negative,Neutral
cXypl4FnoZo,1,-1.18,negative,slightly negative
cXypl4FnoZo,2,-1.5,negative,negative
