Video_id,Segment_id,Label,Label_binary,Label_7
-6rXp3zJ3kc,0,0.33,positive,Neutral
-6rXp3zJ3kc,1,-1.0,negative,slightly negative
-6rXp3zJ3kc,2,0.0,negative,Neutral
-9y-fZ3swSY,0,1.33,positive,positive
-9y-fZ3swSY,1,1.0,positive,slightly positive
-9y-fZ3swSY,2,1.33,positive,positive
-9y-fZ3swSY,3,0.33,positive,Neutral
-9y-fZ3swSY,4,0.0,negative,Neutral
-9y-fZ3swSY,5,0.33,positive,Neutral
-9y-fZ3swSY,6,-0.33,negative,Neutral
-9y-fZ3swSY,7,1.67,positive,positive
-AUZQgSxyPQ,0,0.67,positive,slightly positive
-HeZS2-Prhc,0,1.33,positive,positive
-HeZS2-Prhc,1,-0.67,negative,slightly negative
-HeZS2-Prhc,2,0.67,positive,slightly positive
-HeZS2-Prhc,3,1.0,positive,slightly positive
-MeTTeMJBNc,0,0.33,positive,Neutral
-MeTTeMJBNc,1,0.33,positive,Neutral
-MeTTeMJBNc,2,0.0,negative,Neutral
-MeTTeMJBNc,3,1.33,positive,positive
-RfYyzHpjk4,0,2.0,positive,positive
-RfYyzHpjk4,1,0.33,positive,Neutral
-RfYyzHpjk4,2,0.33,positive,Neutral
-RfYyzHpjk4,3,0.0,negative,Neutral
-UUCSKoHeMA,0,0.67,positive,slightly positive
-UUCSKoHeMA,1,-0.33,negative,Neutral
-UUCSKoHeMA,2,0.0,negative,Neutral
-UUCSKoHeMA,3,0.0,negative,Neutral
-cEhr0cQcDM,0,0.0,negative,Neutral
-cEhr0cQcDM,1,1.33,positive,positive
-ri04Z7vwnc,0,-0.33,negative,Neutral
-ri04Z7vwnc,1,0.0,negative,Neutral
-ri04Z7vwnc,2,-0.33,negative,Neutral
-ri04Z7vwnc,3,0.33,positive,Neutral
-ri04Z7vwnc,4,0.67,positive,slightly positive
-ri04Z7vwnc,5,1.0,positive,slightly positive
-rxZxtG0xmY,0,-1.0,negative,slightly negative
-rxZxtG0xmY,1,0.0,negative,Neutral
-s9qJ7ATP7w,0,0.67,positive,slightly positive
-s9qJ7ATP7w,1,-0.33,negative,Neutral
-s9qJ7ATP7w,2,0.67,positive,slightly positive
-s9qJ7ATP7w,3,1.33,positive,positive
-s9qJ7ATP7w,4,-2.0,negative,negative
-s9qJ7ATP7w,5,0.0,negative,Neutral
-s9qJ7ATP7w,6,1.0,positive,slightly positive
-s9qJ7ATP7w,7,0.0,negative,Neutral
-s9qJ7ATP7w,8,1.0,positive,slightly positive
-s9qJ7ATP7w,9,1.33,positive,positive
-yRb-Jum7EQ,0,0.0,negative,Neutral
-yRb-Jum7EQ,1,0.0,negative,Neutral
-yRb-Jum7EQ,2,-0.67,negative,slightly negative
-yRb-Jum7EQ,3,0.0,negative,Neutral
-yRb-Jum7EQ,4,0.0,negative,Neutral
0Fqav67TDEw,0,0.33,positive,Neutral
0JaYazphxfM,0,1.0,positive,slightly positive
0JaYazphxfM,1,0.0,negative,Neutral
0K7dCp80n9c,0,0.33,positive,Neutral
0K7dCp80n9c,1,1.67,positive,positive
0K7dCp80n9c,2,0.0,negative,Neutral
0K7dCp80n9c,3,0.0,negative,Neutral
0K7dCp80n9c,4,0.33,positive,Neutral
0K7dCp80n9c,5,0.0,negative,Neutral
0K7dCp80n9c,6,0.0,negative,Neutral
0K7dCp80n9c,7,1.0,positive,slightly positive
0PlQc98SccA,0,0.67,positive,slightly positive
0PlQc98SccA,1,0.33,positive,Neutral
0PlQc98SccA,2,0.33,positive,Neutral
0YiAKqU36KE,0,1.33,positive,positive
0YiAKqU36KE,1,-1.0,negative,slightly negative
0YiAKqU36KE,2,1.0,positive,slightly positive
0YiAKqU36KE,3,0.0,negative,Neutral
0YiAKqU36KE,4,-1.67,negative,negative
0YiAKqU36KE,5,0.0,negative,Neutral
0YiAKqU36KE,6,-0.33,negative,Neutral
0YiAKqU36KE,7,1.67,positive,positive
0YiAKqU36KE,8,0.0,negative,Neutral
0bxhZ-LIfZY,0,-0.33,negative,Neutral
0bxhZ-LIfZY,1,-0.33,negative,Neutral
0eTibWQdO5M,0,-0.67,negative,slightly negative
0uftSGdwo0Q,0,1.33,positive,positive
0uftSGdwo0Q,1,0.0,negative,Neutral
0uftSGdwo0Q,2,0.33,positive,Neutral
0uftSGdwo0Q,3,0.67,positive,slightly positive
100178,0,-2.0,negative,negative
100178,1,0.0,negative,Neutral
100178,2,1.33,positive,positive
100178,3,-1.33,negative,negative
100178,4,0.0,negative,Neutral
100178,5,0.67,positive,slightly positive
100178,6,-1.33,negative,negative
100178,7,0.33,positive,Neutral
100178,8,0.0,negative,Neutral
100178,9,0.0,negative,Neutral
100178,10,0.0,negative,Neutral
100178,11,0.0,negative,Neutral
100178,12,0.33,positive,Neutral
100178,13,0.0,negative,Neutral
100178,14,-0.67,negative,slightly negative
100178,15,-2.0,negative,negative
100178,16,-1.0,negative,slightly negative
100178,17,-2.33,negative,very negative
10219,0,2.67,positive,very positive
10219,1,2.0,positive,positive
10219,2,2.0,positive,positive
10219,3,0.0,negative,Neutral
10219,4,0.0,negative,Neutral
10219,5,0.0,negative,Neutral
10219,6,0.67,positive,slightly positive
10219,7,2.67,positive,very positive
10219,8,1.67,positive,positive
10219,9,1.0,positive,slightly positive
10219,10,1.33,positive,positive
10219,11,0.0,negative,Neutral
10219,12,1.33,positive,positive
10219,13,0.33,positive,Neutral
102213,0,-2.0,negative,negative
102213,1,-1.67,negative,negative
102213,2,-1.0,negative,slightly negative
102213,3,-2.33,negative,very negative
102213,4,0.33,positive,Neutral
102213,5,0.0,negative,Neutral
102213,6,0.33,positive,Neutral
102213,7,1.33,positive,positive
102213,8,-1.0,negative,slightly negative
102213,9,-0.33,negative,Neutral
102213,10,-1.0,negative,slightly negative
102213,11,-0.67,negative,slightly negative
102213,12,-1.33,negative,negative
102213,13,0.0,negative,Neutral
102389,0,-1.0,negative,slightly negative
102389,1,-0.67,negative,slightly negative
102389,2,0.33,positive,Neutral
102389,3,-2.0,negative,negative
102389,4,-1.67,negative,negative
102389,5,-2.0,negative,negative
102389,6,0.0,negative,Neutral
102389,7,0.0,negative,Neutral
102389,8,0.0,negative,Neutral
102389,9,-1.67,negative,negative
102389,10,0.0,negative,Neutral
102389,11,-1.0,negative,slightly negative
102389,12,-1.33,negative,negative
102389,13,-0.33,negative,Neutral
102389,14,-1.67,negative,negative
104741,0,0.0,negative,Neutral
104741,1,0.0,negative,Neutral
104741,2,-1.67,negative,negative
104741,3,-1.67,negative,negative
104741,4,0.0,negative,Neutral
104741,5,-0.33,negative,Neutral
104741,6,-1.33,negative,negative
104741,7,0.33,positive,Neutral
104741,8,-0.67,negative,slightly negative
104741,9,-0.67,negative,slightly negative
107585,0,-2.0,negative,negative
107585,1,-1.33,negative,negative
107585,2,-1.0,negative,slightly negative
107585,3,-2.0,negative,negative
107585,4,-1.0,negative,slightly negative
107585,5,-1.0,negative,slightly negative
107585,6,-1.0,negative,slightly negative
107585,7,-0.67,negative,slightly negative
107585,8,-1.0,negative,slightly negative
107585,9,-2.0,negative,negative
107585,10,-0.67,negative,slightly negative
107585,11,0.33,positive,Neutral
107585,12,-2.33,negative,very negative
107585,13,-2.0,negative,negative
107585,14,-1.33,negative,negative
107585,15,-2.0,negative,negative
107585,16,-1.0,negative,slightly negative
107585,17,-2.0,negative,negative
107585,18,-2.0,negative,negative
107585,19,-2.0,negative,negative
108146,0,-1.0,negative,slightly negative
108146,1,-1.67,negative,negative
108146,2,1.67,positive,positive
108146,3,0.0,negative,Neutral
108146,4,-1.67,negative,negative
108146,5,1.33,positive,positive
108146,6,1.0,positive,slightly positive
108146,7,-2.67,negative,very negative
108146,8,-2.0,negative,negative
108146,9,1.33,positive,positive
108146,10,-2.0,negative,negative
108146,11,-0.33,negative,Neutral
110565,0,-1.0,negative,slightly negative
110565,1,-2.0,negative,negative
110565,2,-1.67,negative,negative
110565,3,-1.0,negative,slightly negative
110565,4,1.0,positive,slightly positive
110565,5,1.67,positive,positive
110565,6,-1.33,negative,negative
110565,7,-1.33,negative,negative
110565,8,-1.67,negative,negative
111881,0,-1.0,negative,slightly negative
111881,1,-2.0,negative,negative
111881,2,0.0,negative,Neutral
111881,3,-2.0,negative,negative
111881,4,-2.0,negative,negative
111881,5,0.33,positive,Neutral
111881,6,-1.67,negative,negative
111881,7,-2.0,negative,negative
111881,8,-0.33,negative,Neutral
111881,9,0.0,negative,Neutral
111881,10,-1.0,negative,slightly negative
111881,11,-2.67,negative,very negative
111881,12,0.0,negative,Neutral
111881,13,-1.33,negative,negative
111881,14,-2.0,negative,negative
111881,15,0.33,positive,Neutral
111881,16,-2.0,negative,negative
111881,17,0.67,positive,slightly positive
112425,0,1.67,positive,positive
112425,1,2.33,positive,very positive
112425,2,0.33,positive,Neutral
112425,3,0.67,positive,slightly positive
112425,4,0.0,negative,Neutral
112425,5,0.67,positive,slightly positive
112425,6,1.67,positive,positive
112425,7,-1.0,negative,slightly negative
112425,8,2.0,positive,positive
112425,9,1.33,positive,positive
112425,10,1.0,positive,slightly positive
112425,11,2.67,positive,very positive
112425,12,2.67,positive,very positive
112509,0,-1.0,negative,slightly negative
112509,1,-0.33,negative,Neutral
112509,2,-1.33,negative,negative
112509,3,-0.33,negative,Neutral
112509,4,1.33,positive,positive
112509,5,-2.0,negative,negative
116213,0,0.33,positive,Neutral
116213,1,0.0,negative,Neutral
116213,2,1.33,positive,positive
116213,3,2.33,positive,very positive
116213,4,0.33,positive,Neutral
116213,5,-0.67,negative,slightly negative
116213,6,2.33,positive,very positive
116213,7,1.67,positive,positive
116213,8,0.0,negative,Neutral
116213,9,0.0,negative,Neutral
116213,10,-0.33,negative,Neutral
116213,11,0.33,positive,Neutral
116213,12,-0.67,negative,slightly negative
11UtTaDYgII,0,1.67,positive,positive
11UtTaDYgII,1,1.67,positive,positive
11UtTaDYgII,2,1.33,positive,positive
11UtTaDYgII,3,2.0,positive,positive
11UtTaDYgII,4,1.33,positive,positive
11UtTaDYgII,5,0.67,positive,slightly positive
11UtTaDYgII,6,2.0,positive,positive
121400,0,-0.33,negative,Neutral
121400,1,-0.67,negative,slightly negative
121400,2,-2.33,negative,very negative
121400,3,0.0,negative,Neutral
121400,4,0.0,negative,Neutral
121400,5,-0.67,negative,slightly negative
121400,6,0.0,negative,Neutral
121400,7,1.0,positive,slightly positive
121400,8,0.0,negative,Neutral
121400,9,0.67,positive,slightly positive
121400,10,-0.33,negative,Neutral
121400,11,0.0,negative,Neutral
126872,0,-2.0,negative,negative
126872,1,0.0,negative,Neutral
126872,2,-0.67,negative,slightly negative
126872,3,-0.33,negative,Neutral
126872,4,-2.0,negative,negative
126872,5,-1.0,negative,slightly negative
126872,6,0.0,negative,Neutral
126872,7,-0.67,negative,slightly negative
126872,8,-2.0,negative,negative
126872,9,-2.67,negative,very negative
126872,10,-2.0,negative,negative
126872,11,-0.33,negative,Neutral
126872,12,-1.0,negative,slightly negative
