Video_id,Segment_id,Pred,Pred_binary,Pred_7
-6rXp3zJ3kc,0,0.17,positive,Neutral
-6rXp3zJ3kc,1,0.17,positive,Neutral
-6rXp3zJ3kc,2,0.17,positive,Neutral
-9y-fZ3swSY,0,0.17,positive,Neutral
-9y-fZ3swSY,1,0.17,positive,Neutral
-9y-fZ3swSY,2,0.17,positive,Neutral
-9y-fZ3swSY,3,0.17,positive,Neutral
-9y-fZ3swSY,4,0.17,positive,Neutral
-9y-fZ3swSY,5,0.17,positive,Neutral
-9y-fZ3swSY,6,0.17,positive,Neutral
-9y-fZ3swSY,7,0.17,positive,Neutral
-AUZQgSxyPQ,0,0.17,positive,Neutral
-HeZS2-Prhc,0,0.17,positive,Neutral
-HeZS2-Prhc,1,0.17,positive,Neutral
-HeZS2-Prhc,2,0.17,positive,Neutral
-HeZS2-Prhc,3,0.17,positive,Neutral
-MeTTeMJBNc,0,0.17,positive,Neutral
-MeTTeMJBNc,1,0.17,positive,Neutral
-MeTTeMJBNc,2,0.17,positive,Neutral
-MeTTeMJBNc,3,0.17,positive,Neutral
-RfYyzHpjk4,0,0.17,positive,Neutral
-RfYyzHpjk4,1,0.17,positive,Neutral
-RfYyzHpjk4,2,0.17,positive,Neutral
-RfYyzHpjk4,3,0.17,positive,Neutral
-UUCSKoHeMA,0,0.17,positive,Neutral
-UUCSKoHeMA,1,0.17,positive,Neutral
-UUCSKoHeMA,2,0.17,positive,Neutral
-UUCSKoHeMA,3,0.17,positive,Neutral
-cEhr0cQcDM,0,0.17,positive,Neutral
-cEhr0cQcDM,1,0.17,positive,Neutral
-ri04Z7vwnc,0,0.17,positive,Neutral
-ri04Z7vwnc,1,0.17,positive,Neutral
-ri04Z7vwnc,2,0.17,positive,Neutral
-ri04Z7vwnc,3,0.17,positive,Neutral
-ri04Z7vwnc,4,0.17,positive,Neutral
-ri04Z7vwnc,5,0.17,positive,Neutral
-rxZxtG0xmY,0,0.17,positive,Neutral
-rxZxtG0xmY,1,0.17,positive,Neutral
-s9qJ7ATP7w,0,0.17,positive,Neutral
-s9qJ7ATP7w,1,0.17,positive,Neutral
-s9qJ7ATP7w,2,0.17,positive,Neutral
-s9qJ7ATP7w,3,0.17,positive,Neutral
-s9qJ7ATP7w,4,0.17,positive,Neutral
-s9qJ7ATP7w,5,0.17,positive,Neutral
-s9qJ7ATP7w,6,0.17,positive,Neutral
-s9qJ7ATP7w,7,0.17,positive,Neutral
-s9qJ7ATP7w,8,0.17,positive,Neutral
-s9qJ7ATP7w,9,0.17,positive,Neutral
-yRb-Jum7EQ,0,0.17,positive,Neutral
-yRb-Jum7EQ,1,0.17,positive,Neutral
-yRb-Jum7EQ,2,0.17,positive,Neutral
-yRb-Jum7EQ,3,0.17,positive,Neutral
-yRb-Jum7EQ,4,0.17,positive,Neutral
0Fqav67TDEw,0,0.17,positive,Neutral
0JaYazphxfM,0,0.17,positive,Neutral
0JaYazphxfM,1,0.17,positive,Neutral
0K7dCp80n9c,0,0.17,positive,Neutral
0K7dCp80n9c,1,0.17,positive,Neutral
0K7dCp80n9c,2,0.17,positive,Neutral
0K7dCp80n9c,3,0.17,positive,Neutral
0K7dCp80n9c,4,0.17,positive,Neutral
0K7dCp80n9c,5,0.17,positive,Neutral
0K7dCp80n9c,6,0.17,positive,Neutral
0K7dCp80n9c,7,0.17,positive,Neutral
0PlQc98SccA,0,0.17,positive,Neutral
0PlQc98SccA,1,0.17,positive,Neutral
0PlQc98SccA,2,0.17,positive,Neutral
0YiAKqU36KE,0,0.17,positive,Neutral
0YiAKqU36KE,1,0.17,positive,Neutral
0YiAKqU36KE,2,0.17,positive,Neutral
0YiAKqU36KE,3,0.17,positive,Neutral
0YiAKqU36KE,4,0.17,positive,Neutral
0YiAKqU36KE,5,0.17,positive,Neutral
0YiAKqU36KE,6,0.17,positive,Neutral
0YiAKqU36KE,7,0.17,positive,Neutral
0YiAKqU36KE,8,0.17,positive,Neutral
0bxhZ-LIfZY,0,0.17,positive,Neutral
0bxhZ-LIfZY,1,0.17,positive,Neutral
0eTibWQdO5M,0,0.17,positive,Neutral
0uftSGdwo0Q,0,0.17,positive,Neutral
0uftSGdwo0Q,1,0.17,positive,Neutral
0uftSGdwo0Q,2,0.17,positive,Neutral
0uftSGdwo0Q,3,0.17,positive,Neutral
100178,0,0.17,positive,Neutral
100178,1,0.17,positive,Neutral
100178,2,0.17,positive,Neutral
100178,3,0.17,positive,Neutral
100178,4,0.17,positive,Neutral
100178,5,0.17,positive,Neutral
100178,6,0.17,positive,Neutral
100178,7,0.17,positive,Neutral
100178,8,0.17,positive,Neutral
100178,9,0.17,positive,Neutral
100178,10,0.17,positive,Neutral
100178,11,0.17,positive,Neutral
100178,12,0.17,positive,Neutral
100178,13,0.17,positive,Neutral
100178,14,0.17,positive,Neutral
100178,15,0.17,positive,Neutral
100178,16,0.17,positive,Neutral
100178,17,0.17,positive,Neutral
10219,0,0.17,positive,Neutral
