Video_id,Segment_id,Pred,Pred_binary,Pred_7
c7UH_rxdZv4,0,-0.97,negative,slightly negative
c7UH_rxdZv4,1,-1.32,negative,negative
c7UH_rxdZv4,2,-0.99,negative,slightly negative
c7UH_rxdZv4,3,0.07,positive,Neutral
c7UH_rxdZv4,4,-0.73,negative,slightly negative
c7UH_rxdZv4,5,-1.63,negative,negative
c7UH_rxdZv4,6,-2.1,negative,negative
c7UH_rxdZv4,7,1.71,positive,positive
c7UH_rxdZv4,8,1.09,positive,slightly positive
c7UH_rxdZv4,9,0.25,positive,Neutral
c7UH_rxdZv4,10,0.99,positive,slightly positive
c7UH_rxdZv4,11,-1.1,negative,slightly negative
c7UH_rxdZv4,12,0.05,positive,Neutral
c7UH_rxdZv4,13,1.41,positive,positive
c7UH_rxdZv4,14,-1.77,negative,negative
c7UH_rxdZv4,15,-0.52,negative,slightly negative
c7UH_rxdZv4,16,0.72,positive,slightly positive
c7UH_rxdZv4,17,-1.41,negative,negative
c7UH_rxdZv4,18,0.6,positive,slightly positive
c7UH_rxdZv4,19,-1.66,negative,negative
c7UH_rxdZv4,20,-0.32,negative,Neutral
c7UH_rxdZv4,21,-0.81,negative,slightly negative
c7UH_rxdZv4,22,-1.24,negative,slightly negative
c7UH_rxdZv4,23,-1.96,negative,negative
c7UH_rxdZv4,24,1.42,positive,positive
c7UH_rxdZv4,25,-0.8,negative,slightly negative
c7UH_rxdZv4,26,0.04,positive,Neutral
c7UH_rxdZv4,27,0.63,positive,slightly positive
c7UH_rxdZv4,28,0.99,positive,slightly positive
c7UH_rxdZv4,29,1.14,positive,slightly positive
c7UH_rxdZv4,30,-0.4,negative,Neutral
c7UH_rxdZv4,31,-0.91,negative,slightly negative
c7UH_rxdZv4,32,-1.47,negative,negative
cM3Yna7AavY,0,-0.57,negative,slightly negative
cM3Yna7AavY,1,0.5,positive,slightly positive
cM3Yna7AavY,2,-0.21,negative,Neutral
cM3Yna7AavY,3,-0.07,negative,Neutral
cM3Yna7AavY,4,-1.24,negative,slightly negative
cM3Yna7AavY,5,2.41,positive,very positive
cM3Yna7AavY,6,2.41,positive,very positive
cM3Yna7AavY,7,-1.2,negative,slightly negative
cM3Yna7AavY,8,1.1,positive,slightly positive
cM3Yna7AavY,9,1.32,positive,positive
cM3Yna7AavY,10,1.51,positive,positive
cM3Yna7AavY,11,-0.5,negative,slightly negative
cM3Yna7AavY,12,-1.69,negative,negative
cM3Yna7AavY,13,-1.55,negative,negative
cM3Yna7AavY,14,-1.91,negative,negative
cM3Yna7AavY,15,-1.39,negative,negative
cW1FSBF59ik,0,-0.74,negative,slightly negative
cW1FSBF59ik,1,0.62,positive,slightly positive
cW1FSBF59ik,2,-0.84,negative,slightly negative
cW1FSBF59ik,3,2.24,positive,very positive
cW1FSBF59ik,4,1.56,positive,positive
cW1FSBF59ik,5,2.1,positive,positive
cW1FSBF59ik,6,0.99,positive,slightly positive
cW1FSBF59ik,7,2.01,positive,positive
cW1FSBF59ik,8,-0.59,negative,slightly negative
cW1FSBF59ik,9,2.35,positive,very positive
cW1FSBF59ik,10,-1.47,negative,negative
cW1FSBF59ik,11,-1.61,negative,negative
cW1FSBF59ik,12,2.28,positive,very positive
cW1FSBF59ik,13,-0.79,negative,slightly negative
cW1FSBF59ik,14,-1.24,negative,slightly negative
cW1FSBF59ik,15,1.76,positive,positive
cW1FSBF59ik,16,2.26,positive,very positive
cW1FSBF59ik,17,2.07,positive,positive
cW1FSBF59ik,18,0.19,positive,Neutral
cW1FSBF59ik,19,1.99,positive,positive
cW1FSBF59ik,20,2.48,positive,very positive
cW1FSBF59ik,21,0.21,positive,Neutral
cW1FSBF59ik,22,2.06,positive,positive
cW1FSBF59ik,23,0.06,positive,Neutral
cXypl4FnoZo,0,-0.65,negative,slightly negative
cXypl4FnoZo,1,1.57,positive,positive
cXypl4FnoZo,2,1.79,positive,positive
cXypl4FnoZo,3,-1.28,negative,slightly negative
cXypl4FnoZo,4,1.62,positive,positive
cXypl4FnoZo,5,-0.04,negative,Neutral
cXypl4FnoZo,6,-1.29,negative,negative
cXypl4FnoZo,7,0.67,positive,slightly positive
cXypl4FnoZo,8,1.51,positive,positive
cXypl4FnoZo,9,2.37,positive,very positive
cXypl4FnoZo,10,-0.25,negative,Neutral
cXypl4FnoZo,11,2.13,positive,positive
cXypl4FnoZo,12,-1.4,negative,negative
cXypl4FnoZo,13,-1.1,negative,slightly negative
cXypl4FnoZo,14,-0.38,negative,Neutral
cXypl4FnoZo,15,-1.58,negative,negative
cXypl4FnoZo,16,-0.26,negative,Neutral
cXypl4FnoZo,17,-1.24,negative,slightly negative
cXypl4FnoZo,18,-0.19,negative,Neutral
cXypl4FnoZo,19,-0.02,negative,Neutral
cXypl4FnoZo,20,-0.27,negative,Neutral
cXypl4FnoZo,21,-0.43,negative,slightly negative
cXypl4FnoZo,22,-0.29,negative,Neutral
cXypl4FnoZo,23,-0.51,negative,slightly negative
cXypl4FnoZo,24,-0.2,negative,Neutral
cXypl4FnoZo,25,0.88,positive,slightly positive
cXypl4FnoZo,26,-0.45,negative,slightly negative
cXypl4FnoZo,27,-1.22,negative,slightly negative
cXypl4FnoZo,28,-1.62,negative,negative
d3_k5Xpfmik,0,1.97,positive,positive
d3_k5Xpfmik,1,-1.06,negative,slightly negative
d3_k5Xpfmik,2,2.27,positive,very positive
d3_k5Xpfmik,3,-1.2,negative,slightly negative
d3_k5Xpfmik,4,-1.5,negative,negative
d3_k5Xpfmik,5,2.24,positive,very positive
d3_k5Xpfmik,6,-0.31,negative,Neutral
d3_k5Xpfmik,7,2.39,positive,very positive
d3_k5Xpfmik,8,0.81,positive,slightly positive
d3_k5Xpfmik,9,-0.03,negative,Neutral
d3_k5Xpfmik,10,2.64,positive,very positive
d3_k5Xpfmik,11,2.2,positive,very positive
d3_k5Xpfmik,12,1.72,positive,positive
d3_k5Xpfmik,13,0.06,positive,Neutral
d3_k5Xpfmik,14,2.47,positive,very positive
d3_k5Xpfmik,15,2.54,positive,very positive
d3_k5Xpfmik,16,0.71,positive,slightly positive
d3_k5Xpfmik,17,-0.2,negative,Neutral
d3_k5Xpfmik,18,1.36,positive,positive
d6hH302o4v8,0,-2.19,negative,very negative
d6hH302o4v8,1,-1.11,negative,slightly negative
d6hH302o4v8,2,0.84,positive,slightly positive
d6hH302o4v8,3,-1.91,negative,negative
d6hH302o4v8,4,-0.04,negative,Neutral
d6hH302o4v8,5,-0.61,negative,slightly negative
d6hH302o4v8,6,0.07,positive,Neutral
d6hH302o4v8,7,-0.85,negative,slightly negative
d6hH302o4v8,8,-1.42,negative,negative
d6hH302o4v8,9,-0.77,negative,slightly negative
d6hH302o4v8,10,-1.4,negative,negative
d6hH302o4v8,11,1.77,positive,positive
d6hH302o4v8,12,-1.52,negative,negative
d6hH302o4v8,13,-1.73,negative,negative
d6hH302o4v8,14,-0.65,negative,slightly negative
d6hH302o4v8,15,-1.95,negative,negative
d6hH302o4v8,16,-1.47,negative,negative
d6hH302o4v8,17,-1.94,negative,negative
d6hH302o4v8,18,-1.52,negative,negative
d6hH302o4v8,19,0.57,positive,slightly positive
d6hH302o4v8,20,-2.25,negative,very negative
d6hH302o4v8,21,-1.62,negative,negative
d6hH302o4v8,22,-1.88,negative,negative
d6hH302o4v8,23,-2.03,negative,negative
d6hH302o4v8,24,-1.52,negative,negative
d6hH302o4v8,25,-1.88,negative,negative
d6hH302o4v8,26,-1.85,negative,negative
d6hH302o4v8,27,-0.6,negative,slightly negative
d6hH302o4v8,28,-1.01,negative,slightly negative
d6hH302o4v8,29,-2.09,negative,negative
d6hH302o4v8,30,-1.46,negative,negative
d6hH302o4v8,31,0.01,positive,Neutral
d6hH302o4v8,32,-2.21,negative,very negative
d6hH302o4v8,33,-1.85,negative,negative
d6hH302o4v8,34,-1.25,negative,slightly negative
d6hH302o4v8,35,-2.22,negative,very negative
d6hH302o4v8,36,-1.99,negative,negative
d6hH302o4v8,37,-1.23,negative,slightly negative
d6hH302o4v8,38,-2.12,negative,negative
d6hH302o4v8,39,-1.58,negative,negative
d6hH302o4v8,40,-2.22,negative,very negative
d6hH302o4v8,41,-1.55,negative,negative
d6hH302o4v8,42,1.06,positive,slightly positive
dq3Nf_lMPnE,0,1.02,positive,slightly positive
dq3Nf_lMPnE,1,0.1,positive,Neutral
dq3Nf_lMPnE,2,-1.84,negative,negative
dq3Nf_lMPnE,3,1.72,positive,positive
dq3Nf_lMPnE,4,0.05,positive,Neutral
dq3Nf_lMPnE,5,-0.46,negative,slightly negative
dq3Nf_lMPnE,6,-1.74,negative,negative
dq3Nf_lMPnE,7,0.32,positive,Neutral
dq3Nf_lMPnE,8,-1.21,negative,slightly negative
dq3Nf_lMPnE,9,1.5,positive,positive
dq3Nf_lMPnE,10,-0.17,negative,Neutral
dq3Nf_lMPnE,11,0.3,positive,Neutral
dq3Nf_lMPnE,12,1.39,positive,positive
dq3Nf_lMPnE,13,1.76,positive,positive
dq3Nf_lMPnE,14,1.9,positive,positive
etzxEpPuc6I,0,-0.88,negative,slightly negative
etzxEpPuc6I,1,0.13,positive,Neutral
etzxEpPuc6I,2,-1.9,negative,negative
etzxEpPuc6I,3,0.87,positive,slightly positive
etzxEpPuc6I,4,0.29,positive,Neutral
etzxEpPuc6I,5,0.22,positive,Neutral
etzxEpPuc6I,6,-0.72,negative,slightly negative
etzxEpPuc6I,7,-0.86,negative,slightly negative
etzxEpPuc6I,8,-2.12,negative,negative
etzxEpPuc6I,9,-0.4,negative,Neutral
etzxEpPuc6I,10,-1.19,negative,slightly negative
etzxEpPuc6I,11,-1.46,negative,negative
etzxEpPuc6I,12,-1.12,negative,slightly negative
etzxEpPuc6I,13,-1.21,negative,slightly negative
etzxEpPuc6I,14,-0.96,negative,slightly negative
etzxEpPuc6I,15,-2.15,negative,very negative
etzxEpPuc6I,16,-1.48,negative,negative
etzxEpPuc6I,17,1.65,positive,positive
etzxEpPuc6I,18,-1.12,negative,slightly negative
f9O3YtZ2VfI,0,-1.27,negative,slightly negative
f9O3YtZ2VfI,1,1.46,positive,positive
f9O3YtZ2VfI,2,0.12,positive,Neutral
f9O3YtZ2VfI,3,-1.88,negative,negative
f9O3YtZ2VfI,4,-0.97,negative,slightly negative
f9O3YtZ2VfI,5,-1.44,negative,negative
f9O3YtZ2VfI,6,-0.73,negative,slightly negative
f9O3YtZ2VfI,7,-0.75,negative,slightly negative
f9O3YtZ2VfI,8,-2.02,negative,negative
f9O3YtZ2VfI,9,-1.51,negative,negative
f9O3YtZ2VfI,10,-1.72,negative,negative
f9O3YtZ2VfI,11,-0.79,negative,slightly negative
f9O3YtZ2VfI,12,0.41,positive,Neutral
f9O3YtZ2VfI,13,0.08,positive,Neutral
f9O3YtZ2VfI,14,-0.93,negative,slightly negative
f9O3YtZ2VfI,15,1.91,positive,positive
f9O3YtZ2VfI,16,0.64,positive,slightly positive
f9O3YtZ2VfI,17,-1.3,negative,negative
f9O3YtZ2VfI,18,-1.56,negative,negative
f9O3YtZ2VfI,19,0.06,positive,Neutral
f9O3YtZ2VfI,20,1.98,positive,positive
f9O3YtZ2VfI,21,0.63,positive,slightly positive
f9O3YtZ2VfI,22,1.89,positive,positive
f9O3YtZ2VfI,23,-0.71,negative,slightly negative
f9O3YtZ2VfI,24,-2.39,negative,very negative
f9O3YtZ2VfI,25,1.67,positive,positive
f9O3YtZ2VfI,26,1.69,positive,positive
f9O3YtZ2VfI,27,1.8,positive,positive
f9O3YtZ2VfI,28,1.11,positive,slightly positive
f9O3YtZ2VfI,29,-1.13,negative,slightly negative
f_pcplsH_V0,0,1.6,positive,positive
f_pcplsH_V0,1,0.87,positive,slightly positive
f_pcplsH_V0,2,-0.81,negative,slightly negative
f_pcplsH_V0,3,0.12,positive,Neutral
f_pcplsH_V0,4,0.93,positive,slightly positive
f_pcplsH_V0,5,1.3,positive,positive
f_pcplsH_V0,6,-1.4,negative,negative
f_pcplsH_V0,7,0.91,positive,slightly positive
f_pcplsH_V0,8,-1.2,negative,slightly negative
f_pcplsH_V0,9,0.18,positive,Neutral
f_pcplsH_V0,10,-1.93,negative,negative
f_pcplsH_V0,11,1.09,positive,slightly positive
f_pcplsH_V0,12,1.19,positive,slightly positive
f_pcplsH_V0,13,-0.76,negative,slightly negative
f_pcplsH_V0,14,-1.64,negative,negative
fvVhgmXxadc,0,0.02,positive,Neutral
fvVhgmXxadc,1,-1.1,negative,slightly negative
fvVhgmXxadc,2,-0.67,negative,slightly negative
fvVhgmXxadc,3,-2.07,negative,negative
fvVhgmXxadc,4,-0.39,negative,Neutral
fvVhgmXxadc,5,-0.55,negative,slightly negative
fvVhgmXxadc,6,-1.35,negative,negative
fvVhgmXxadc,7,-1.06,negative,slightly negative
fvVhgmXxadc,8,-0.08,negative,Neutral
fvVhgmXxadc,9,0.13,positive,Neutral
fvVhgmXxadc,10,-0.17,negative,Neutral
fvVhgmXxadc,11,0.43,positive,slightly positive
fvVhgmXxadc,12,-0.36,negative,Neutral
fvVhgmXxadc,13,0.14,positive,Neutral
iiK8YX8oH1E,0,1.01,positive,slightly positive
iiK8YX8oH1E,1,1.05,positive,slightly positive
iiK8YX8oH1E,2,-0.26,negative,Neutral
iiK8YX8oH1E,3,-1.86,negative,negative
iiK8YX8oH1E,4,0.08,positive,Neutral
iiK8YX8oH1E,5,1.3,positive,positive
iiK8YX8oH1E,6,-1.87,negative,negative
iiK8YX8oH1E,7,0.69,positive,slightly positive
iiK8YX8oH1E,8,1.18,positive,slightly positive
iiK8YX8oH1E,9,0.09,positive,Neutral
iiK8YX8oH1E,10,0.67,positive,slightly positive
iiK8YX8oH1E,11,2.15,positive,very positive
iiK8YX8oH1E,12,-0.99,negative,slightly negative
iiK8YX8oH1E,13,-1.34,negative,negative
iiK8YX8oH1E,14,1.84,positive,positive
iiK8YX8oH1E,15,-0.73,negative,slightly negative
iiK8YX8oH1E,16,2.18,positive,very positive
iiK8YX8oH1E,17,0.93,positive,slightly positive
jUzDDGyPkXU,0,2.57,positive,very positive
jUzDDGyPkXU,1,2.5,positive,very positive
jUzDDGyPkXU,2,0.96,positive,slightly positive
jUzDDGyPkXU,3,1.42,positive,positive
jUzDDGyPkXU,4,-0.64,negative,slightly negative
jUzDDGyPkXU,5,-0.76,negative,slightly negative
jUzDDGyPkXU,6,-0.76,negative,slightly negative
jUzDDGyPkXU,7,2.52,positive,very positive
jUzDDGyPkXU,8,2.33,positive,very positive
jUzDDGyPkXU,9,1.92,positive,positive
jUzDDGyPkXU,10,2.42,positive,very positive
jUzDDGyPkXU,11,0.45,positive,slightly positive
jUzDDGyPkXU,12,-0.28,negative,Neutral
jUzDDGyPkXU,13,0.2,positive,Neutral
jUzDDGyPkXU,14,0.33,positive,Neutral
jUzDDGyPkXU,15,1.31,positive,positive
jUzDDGyPkXU,16,-2.31,negative,very negative
jUzDDGyPkXU,17,-2.38,negative,very negative
jUzDDGyPkXU,18,-0.03,negative,Neutral
jUzDDGyPkXU,19,-1.97,negative,negative
jUzDDGyPkXU,20,0.7,positive,slightly positive
jUzDDGyPkXU,21,-1.64,negative,negative
jUzDDGyPkXU,22,1.75,positive,positive
jUzDDGyPkXU,23,-1.13,negative,slightly negative
jUzDDGyPkXU,24,-1.35,negative,negative
jUzDDGyPkXU,25,-1.26,negative,slightly negative
jUzDDGyPkXU,26,-2.06,negative,negative
k5Y_838nuGo,0,-0.96,negative,slightly negative
k5Y_838nuGo,1,-1.21,negative,slightly negative
k5Y_838nuGo,2,1.81,positive,positive
k5Y_838nuGo,3,1.27,positive,slightly positive
k5Y_838nuGo,4,-1.48,negative,negative
k5Y_838nuGo,5,1.84,positive,positive
k5Y_838nuGo,6,-2.16,negative,very negative
k5Y_838nuGo,7,-0.68,negative,slightly negative
k5Y_838nuGo,8,1.98,positive,positive
k5Y_838nuGo,9,0.46,positive,slightly positive
k5Y_838nuGo,10,1.39,positive,positive
k5Y_838nuGo,11,-0.34,negative,Neutral
k5Y_838nuGo,12,-0.49,negative,slightly negative
k5Y_838nuGo,13,-0.76,negative,slightly negative
k5Y_838nuGo,14,1.95,positive,positive
k5Y_838nuGo,15,-0.74,negative,slightly negative
k5Y_838nuGo,16,1.67,positive,positive
k5Y_838nuGo,17,1.24,positive,slightly positive
k5Y_838nuGo,18,0.05,positive,Neutral
k5Y_838nuGo,19,0.03,positive,Neutral
k5Y_838nuGo,20,-1.39,negative,negative
k5Y_838nuGo,21,1.63,positive,positive
k5Y_838nuGo,22,0.96,positive,slightly positive
k5Y_838nuGo,23,1.42,positive,positive
k5Y_838nuGo,24,-0.4,negative,Neutral
k5Y_838nuGo,25,1.74,positive,positive
k5Y_838nuGo,26,0.01,positive,Neutral
k5Y_838nuGo,27,1.83,positive,positive
k5Y_838nuGo,28,-0.56,negative,slightly negative
k5Y_838nuGo,29,1.74,positive,positive
k5Y_838nuGo,30,-0.93,negative,slightly negative
lXPQBPVc5Cw,0,1.63,positive,positive
lXPQBPVc5Cw,1,-1.6,negative,negative
lXPQBPVc5Cw,2,-1.98,negative,negative
lXPQBPVc5Cw,3,-0.95,negative,slightly negative
lXPQBPVc5Cw,4,0.22,positive,Neutral
lXPQBPVc5Cw,5,-1.59,negative,negative
lXPQBPVc5Cw,6,-0.84,negative,slightly negative
lXPQBPVc5Cw,7,2.43,positive,very positive
lXPQBPVc5Cw,8,-2.24,negative,very negative
lXPQBPVc5Cw,9,-1.48,negative,negative
lXPQBPVc5Cw,10,-1.23,negative,slightly negative
lXPQBPVc5Cw,11,-1.93,negative,negative
lXPQBPVc5Cw,12,2.47,positive,very positive
lXPQBPVc5Cw,13,-2.42,negative,very negative
lXPQBPVc5Cw,14,-2.35,negative,very negative
lXPQBPVc5Cw,15,-2.14,negative,very negative
lXPQBPVc5Cw,16,-0.6,negative,slightly negative
lXPQBPVc5Cw,17,-1.18,negative,slightly negative
lXPQBPVc5Cw,18,-2.13,negative,negative
lXPQBPVc5Cw,19,-1.57,negative,negative
lXPQBPVc5Cw,20,1.59,positive,positive
