Video_id,Segment_id,Pred,Pred_binary,Pred_7
c7UH_rxdZv4,0,-0.24,negative,Neutral
c7UH_rxdZv4,1,1.92,positive,positive
c7UH_rxdZv4,2,1.57,positive,positive
c7UH_rxdZv4,3,0.68,positive,slightly positive
c7UH_rxdZv4,4,-1.07,negative,slightly negative
c7UH_rxdZv4,5,-0.87,negative,slightly negative
c7UH_rxdZv4,6,-0.4,negative,Neutral
c7UH_rxdZv4,7,0.82,positive,slightly positive
c7UH_rxdZv4,8,0.19,positive,Neutral
c7UH_rxdZv4,9,-1.06,negative,slightly negative
c7UH_rxdZv4,10,-0.36,negative,Neutral
c7UH_rxdZv4,11,1.09,positive,slightly positive
c7UH_rxdZv4,12,-1.15,negative,slightly negative
c7UH_rxdZv4,13,-0.78,negative,slightly negative
c7UH_rxdZv4,14,1.44,positive,positive
c7UH_rxdZv4,15,1.79,positive,positive
c7UH_rxdZv4,16,-0.48,negative,slightly negative
c7UH_rxdZv4,17,0.16,positive,Neutral
c7UH_rxdZv4,18,-0.05,negative,Neutral
c7UH_rxdZv4,19,1.28,positive,slightly positive
c7UH_rxdZv4,20,0.13,positive,Neutral
c7UH_rxdZv4,21,2.33,positive,very positive
c7UH_rxdZv4,22,-1.51,negative,negative
c7UH_rxdZv4,23,1.73,positive,positive
c7UH_rxdZv4,24,2.18,positive,very positive
c7UH_rxdZv4,25,-1.24,negative,slightly negative
c7UH_rxdZv4,26,0.83,positive,slightly positive
c7UH_rxdZv4,27,-1.05,negative,slightly negative
c7UH_rxdZv4,28,0.15,positive,Neutral
c7UH_rxdZv4,29,0.91,positive,slightly positive
c7UH_rxdZv4,30,-1.35,negative,negative
c7UH_rxdZv4,31,-1.12,negative,slightly negative
c7UH_rxdZv4,32,1.77,positive,positive
cM3Yna7AavY,0,1.4,positive,positive
cM3Yna7AavY,1,-1.08,negative,slightly negative
cM3Yna7AavY,2,1.07,positive,slightly positive
cM3Yna7AavY,3,-0.65,negative,slightly negative
cM3Yna7AavY,4,-0.34,negative,Neutral
cM3Yna7AavY,5,-0.35,negative,Neutral
cM3Yna7AavY,6,-0.27,negative,Neutral
cM3Yna7AavY,7,-1.81,negative,negative
cM3Yna7AavY,8,1.45,positive,positive
cM3Yna7AavY,9,-0.27,negative,Neutral
cM3Yna7AavY,10,-0.5,negative,slightly negative
cM3Yna7AavY,11,1.08,positive,slightly positive
cM3Yna7AavY,12,1.01,positive,slightly positive
cM3Yna7AavY,13,1.5,positive,positive
cM3Yna7AavY,14,-0.55,negative,slightly negative
cM3Yna7AavY,15,1.75,positive,positive
cW1FSBF59ik,0,0.88,positive,slightly positive
cW1FSBF59ik,1,-2.05,negative,negative
cW1FSBF59ik,2,1.45,positive,positive
cW1FSBF59ik,3,1.91,positive,positive
cW1FSBF59ik,4,0.24,positive,Neutral
cW1FSBF59ik,5,0.83,positive,slightly positive
cW1FSBF59ik,6,1.18,positive,slightly positive
cW1FSBF59ik,7,0.04,positive,Neutral
cW1FSBF59ik,8,-1.56,negative,negative
cW1FSBF59ik,9,-0.69,negative,slightly negative
cW1FSBF59ik,10,-1.67,negative,negative
cW1FSBF59ik,11,-0.04,negative,Neutral
cW1FSBF59ik,12,0.3,positive,Neutral
cW1FSBF59ik,13,-0.52,negative,slightly negative
cW1FSBF59ik,14,-0.6,negative,slightly negative
cW1FSBF59ik,15,0.18,positive,Neutral
cW1FSBF59ik,16,-1.09,negative,slightly negative
cW1FSBF59ik,17,-0.43,negative,slightly negative
cW1FSBF59ik,18,1.08,positive,slightly positive
cW1FSBF59ik,19,-0.92,negative,slightly negative
cW1FSBF59ik,20,1.43,positive,positive
cW1FSBF59ik,21,1.26,positive,slightly positive
cW1FSBF59ik,22,2.1,positive,positive
cW1FSBF59ik,23,-1.25,negative,slightly negative
cXypl4FnoZo,0,-0.56,negative,slightly negative
cXypl4FnoZo,1,1.43,positive,positive
cXypl4FnoZo,2,0.49,positive,slightly positive
cXypl4FnoZo,3,0.71,positive,slightly positive
cXypl4FnoZo,4,-0.94,negative,slightly negative
cXypl4FnoZo,5,-0.52,negative,slightly negative
cXypl4FnoZo,6,0.84,positive,slightly positive
cXypl4FnoZo,7,2.18,positive,very positive
cXypl4FnoZo,8,1.9,positive,positive
cXypl4FnoZo,9,1.19,positive,slightly positive
cXypl4FnoZo,10,0.44,positive,slightly positive
cXypl4FnoZo,11,1.88,positive,positive
cXypl4FnoZo,12,-0.82,negative,slightly negative
cXypl4FnoZo,13,1.86,positive,positive
cXypl4FnoZo,14,0.04,positive,Neutral
cXypl4FnoZo,15,-0.44,negative,slightly negative
cXypl4FnoZo,16,0.36,positive,Neutral
cXypl4FnoZo,17,-0.47,negative,slightly negative
cXypl4FnoZo,18,-0.16,negative,Neutral
cXypl4FnoZo,19,0.08,positive,Neutral
cXypl4FnoZo,20,2.13,positive,positive
cXypl4FnoZo,21,1.63,positive,positive
cXypl4FnoZo,22,1.27,positive,slightly positive
cXypl4FnoZo,23,1.84,positive,positive
cXypl4FnoZo,24,1.84,positive,positive
cXypl4FnoZo,25,-0.07,negative,Neutral
cXypl4FnoZo,26,2.13,positive,positive
cXypl4FnoZo,27,1.68,positive,positive
cXypl4FnoZo,28,0.75,positive,slightly positive
d3_k5Xpfmik,0,0.02,positive,Neutral
d3_k5Xpfmik,1,2.33,positive,very positive
d3_k5Xpfmik,2,-1.07,negative,slightly negative
d3_k5Xpfmik,3,-0.39,negative,Neutral
d3_k5Xpfmik,4,1.78,positive,positive
d3_k5Xpfmik,5,0.94,positive,slightly positive
d3_k5Xpfmik,6,-0.98,negative,slightly negative
d3_k5Xpfmik,7,1.32,positive,positive
d3_k5Xpfmik,8,-1.59,negative,negative
d3_k5Xpfmik,9,0.64,positive,slightly positive
d3_k5Xpfmik,10,-0.01,negative,Neutral
d3_k5Xpfmik,11,1.57,positive,positive
d3_k5Xpfmik,12,0.36,positive,Neutral
d3_k5Xpfmik,13,2.62,positive,very positive
d3_k5Xpfmik,14,1.82,positive,positive
d3_k5Xpfmik,15,0.35,positive,Neutral
d3_k5Xpfmik,16,-0.03,negative,Neutral
d3_k5Xpfmik,17,2.38,positive,very positive
d3_k5Xpfmik,18,-0.72,negative,slightly negative
d6hH302o4v8,0,-0.72,negative,slightly negative
d6hH302o4v8,1,1.61,positive,positive
d6hH302o4v8,2,1.23,positive,slightly positive
d6hH302o4v8,3,-1.16,negative,slightly negative
d6hH302o4v8,4,-0.48,negative,slightly negative
d6hH302o4v8,5,-1.93,negative,negative
d6hH302o4v8,6,-0.63,negative,slightly negative
d6hH302o4v8,7,2.09,positive,positive
d6hH302o4v8,8,0.24,positive,Neutral
d6hH302o4v8,9,-0.33,negative,Neutral
d6hH302o4v8,10,-1.27,negative,slightly negative
d6hH302o4v8,11,-0.63,negative,slightly negative
d6hH302o4v8,12,1.15,positive,slightly positive
d6hH302o4v8,13,0.64,positive,slightly positive
d6hH302o4v8,14,0.53,positive,slightly positive
d6hH302o4v8,15,0.7,positive,slightly positive
d6hH302o4v8,16,-2.03,negative,negative
d6hH302o4v8,17,-0.77,negative,slightly negative
d6hH302o4v8,18,-1.45,negative,negative
d6hH302o4v8,19,-0.75,negative,slightly negative
d6hH302o4v8,20,-1.13,negative,slightly negative
d6hH302o4v8,21,1.72,positive,positive
d6hH302o4v8,22,-2.08,negative,negative
d6hH302o4v8,23,-0.68,negative,slightly negative
d6hH302o4v8,24,1.04,positive,slightly positive
d6hH302o4v8,25,1.76,positive,positive
d6hH302o4v8,26,-0.01,negative,Neutral
d6hH302o4v8,27,0.13,positive,Neutral
d6hH302o4v8,28,0.8,positive,slightly positive
d6hH302o4v8,29,-1.69,negative,negative
d6hH302o4v8,30,-1.12,negative,slightly negative
d6hH302o4v8,31,1.15,positive,slightly positive
d6hH302o4v8,32,0.09,positive,Neutral
d6hH302o4v8,33,-1.47,negative,negative
d6hH302o4v8,34,0.76,positive,slightly positive
d6hH302o4v8,35,0.11,positive,Neutral
d6hH302o4v8,36,-1.78,negative,negative
d6hH302o4v8,37,-2.13,negative,negative
d6hH302o4v8,38,-0.84,negative,slightly negative
d6hH302o4v8,39,-0.37,negative,Neutral
d6hH302o4v8,40,-2.28,negative,very negative
d6hH302o4v8,41,-1.76,negative,negative
d6hH302o4v8,42,-1.11,negative,slightly negative
dq3Nf_lMPnE,0,-0.91,negative,slightly negative
dq3Nf_lMPnE,1,0.97,positive,slightly positive
dq3Nf_lMPnE,2,0.8,positive,slightly positive
dq3Nf_lMPnE,3,-1.47,negative,negative
dq3Nf_lMPnE,4,-1.73,negative,negative
dq3Nf_lMPnE,5,0.63,positive,slightly positive
dq3Nf_lMPnE,6,-1.56,negative,negative
dq3Nf_lMPnE,7,1.94,positive,positive
dq3Nf_lMPnE,8,-1.97,negative,negative
dq3Nf_lMPnE,9,0.79,positive,slightly positive
dq3Nf_lMPnE,10,-0.98,negative,slightly negative
dq3Nf_lMPnE,11,-1.45,negative,negative
dq3Nf_lMPnE,12,2.15,positive,very positive
dq3Nf_lMPnE,13,-0.74,negative,slightly negative
dq3Nf_lMPnE,14,-1.93,negative,negative
etzxEpPuc6I,0,-1.75,negative,negative
etzxEpPuc6I,1,-1.52,negative,negative
etzxEpPuc6I,2,-1.85,negative,negative
etzxEpPuc6I,3,-1.88,negative,negative
etzxEpPuc6I,4,-1.94,negative,negative
etzxEpPuc6I,5,-1.32,negative,negative
etzxEpPuc6I,6,-1.44,negative,negative
etzxEpPuc6I,7,-1.91,negative,negative
etzxEpPuc6I,8,-1.06,negative,slightly negative
etzxEpPuc6I,9,-1.96,negative,negative
etzxEpPuc6I,10,-1.06,negative,slightly negative
etzxEpPuc6I,11,-0.91,negative,slightly negative
etzxEpPuc6I,12,-1.29,negative,negative
etzxEpPuc6I,13,-0.78,negative,slightly negative
etzxEpPuc6I,14,-0.76,negative,slightly negative
etzxEpPuc6I,15,-1.19,negative,slightly negative
etzxEpPuc6I,16,-0.85,negative,slightly negative
etzxEpPuc6I,17,-1.57,negative,negative
etzxEpPuc6I,18,-0.26,negative,Neutral
f9O3YtZ2VfI,0,0.32,positive,Neutral
f9O3YtZ2VfI,1,-1.63,negative,negative
f9O3YtZ2VfI,2,-0.99,negative,slightly negative
f9O3YtZ2VfI,3,2.0,positive,positive
f9O3YtZ2VfI,4,-0.94,negative,slightly negative
f9O3YtZ2VfI,5,0.27,positive,Neutral
f9O3YtZ2VfI,6,1.26,positive,slightly positive
f9O3YtZ2VfI,7,1.91,positive,positive
f9O3YtZ2VfI,8,0.62,positive,slightly positive
f9O3YtZ2VfI,9,-1.92,negative,negative
f9O3YtZ2VfI,10,-0.41,negative,Neutral
f9O3YtZ2VfI,11,-0.0,negative,Neutral
f9O3YtZ2VfI,12,1.96,positive,positive
f9O3YtZ2VfI,13,0.08,positive,Neutral
f9O3YtZ2VfI,14,0.97,positive,slightly positive
f9O3YtZ2VfI,15,-0.11,negative,Neutral
f9O3YtZ2VfI,16,-0.92,negative,slightly negative
f9O3YtZ2VfI,17,-0.76,negative,slightly negative
f9O3YtZ2VfI,18,-1.65,negative,negative
f9O3YtZ2VfI,19,-0.59,negative,slightly negative
f9O3YtZ2VfI,20,-0.21,negative,Neutral
f9O3YtZ2VfI,21,0.62,positive,slightly positive
f9O3YtZ2VfI,22,1.34,positive,positive
f9O3YtZ2VfI,23,-0.95,negative,slightly negative
f9O3YtZ2VfI,24,-1.63,negative,negative
f9O3YtZ2VfI,25,-1.89,negative,negative
f9O3YtZ2VfI,26,-1.47,negative,negative
f9O3YtZ2VfI,27,0.07,positive,Neutral
f9O3YtZ2VfI,28,1.45,positive,positive
f9O3YtZ2VfI,29,1.91,positive,positive
f_pcplsH_V0,0,1.26,positive,slightly positive
f_pcplsH_V0,1,-1.19,negative,slightly negative
f_pcplsH_V0,2,-2.03,negative,negative
f_pcplsH_V0,3,-0.98,negative,slightly negative
f_pcplsH_V0,4,-0.97,negative,slightly negative
f_pcplsH_V0,5,-0.25,negative,Neutral
f_pcplsH_V0,6,-2.16,negative,very negative
f_pcplsH_V0,7,-0.02,negative,Neutral
f_pcplsH_V0,8,-1.79,negative,negative
f_pcplsH_V0,9,-1.91,negative,negative
f_pcplsH_V0,10,0.26,positive,Neutral
f_pcplsH_V0,11,-0.47,negative,slightly negative
f_pcplsH_V0,12,-1.84,negative,negative
f_pcplsH_V0,13,-1.76,negative,negative
f_pcplsH_V0,14,1.07,positive,slightly positive
fvVhgmXxadc,0,1.61,positive,positive
fvVhgmXxadc,1,1.34,positive,positive
fvVhgmXxadc,2,-0.24,negative,Neutral
fvVhgmXxadc,3,-1.07,negative,slightly negative
fvVhgmXxadc,4,-0.27,negative,Neutral
fvVhgmXxadc,5,1.56,positive,positive
fvVhgmXxadc,6,0.37,positive,Neutral
fvVhgmXxadc,7,1.59,positive,positive
fvVhgmXxadc,8,1.85,positive,positive
fvVhgmXxadc,9,1.37,positive,positive
fvVhgmXxadc,10,0.21,positive,Neutral
fvVhgmXxadc,11,-0.12,negative,Neutral
fvVhgmXxadc,12,-1.19,negative,slightly negative
fvVhgmXxadc,13,-0.74,negative,slightly negative
iiK8YX8oH1E,0,1.93,positive,positive
iiK8YX8oH1E,1,-0.51,negative,slightly negative
iiK8YX8oH1E,2,0.25,positive,Neutral
iiK8YX8oH1E,3,1.79,positive,positive
iiK8YX8oH1E,4,-1.12,negative,slightly negative
iiK8YX8oH1E,5,2.33,positive,very positive
iiK8YX8oH1E,6,-0.54,negative,slightly negative
iiK8YX8oH1E,7,2.05,positive,positive
iiK8YX8oH1E,8,0.18,positive,Neutral
iiK8YX8oH1E,9,0.44,positive,slightly positive
iiK8YX8oH1E,10,-0.86,negative,slightly negative
iiK8YX8oH1E,11,-1.75,negative,negative
iiK8YX8oH1E,12,1.41,positive,positive
iiK8YX8oH1E,13,1.61,positive,positive
iiK8YX8oH1E,14,0.11,positive,Neutral
iiK8YX8oH1E,15,1.4,positive,positive
iiK8YX8oH1E,16,-0.41,negative,Neutral
iiK8YX8oH1E,17,-0.02,negative,Neutral
jUzDDGyPkXU,0,1.24,positive,slightly positive
jUzDDGyPkXU,1,0.47,positive,slightly positive
jUzDDGyPkXU,2,-1.9,negative,negative
jUzDDGyPkXU,3,-0.9,negative,slightly negative
jUzDDGyPkXU,4,1.09,positive,slightly positive
jUzDDGyPkXU,5,1.26,positive,slightly positive
jUzDDGyPkXU,6,-1.15,negative,slightly negative
jUzDDGyPkXU,7,-0.02,negative,Neutral
jUzDDGyPkXU,8,0.32,positive,Neutral
jUzDDGyPkXU,9,0.67,positive,slightly positive
jUzDDGyPkXU,10,1.61,positive,positive
jUzDDGyPkXU,11,1.02,positive,slightly positive
jUzDDGyPkXU,12,0.2,positive,Neutral
jUzDDGyPkXU,13,-1.37,negative,negative
jUzDDGyPkXU,14,0.26,positive,Neutral
jUzDDGyPkXU,15,1.97,positive,positive
jUzDDGyPkXU,16,-1.9,negative,negative
jUzDDGyPkXU,17,1.24,positive,slightly positive
jUzDDGyPkXU,18,0.32,positive,Neutral
jUzDDGyPkXU,19,-1.98,negative,negative
jUzDDGyPkXU,20,1.45,positive,positive
jUzDDGyPkXU,21,-1.54,negative,negative
jUzDDGyPkXU,22,2.41,positive,very positive
jUzDDGyPkXU,23,0.27,positive,Neutral
jUzDDGyPkXU,24,-0.98,negative,slightly negative
jUzDDGyPkXU,25,-1.13,negative,slightly negative
jUzDDGyPkXU,26,2.17,positive,very positive
k5Y_838nuGo,0,-1.05,negative,slightly negative
k5Y_838nuGo,1,1.92,positive,positive
k5Y_838nuGo,2,1.74,positive,positive
k5Y_838nuGo,3,0.05,positive,Neutral
k5Y_838nuGo,4,0.07,positive,Neutral
k5Y_838nuGo,5,1.42,positive,positive
k5Y_838nuGo,6,1.3,positive,positive
k5Y_838nuGo,7,-0.06,negative,Neutral
k5Y_838nuGo,8,2.11,positive,positive
k5Y_838nuGo,9,-0.66,negative,slightly negative
k5Y_838nuGo,10,2.38,positive,very positive
k5Y_838nuGo,11,2.56,positive,very positive
k5Y_838nuGo,12,-1.88,negative,negative
k5Y_838nuGo,13,-1.67,negative,negative
k5Y_838nuGo,14,0.65,positive,slightly positive
k5Y_838nuGo,15,1.75,positive,positive
k5Y_838nuGo,16,1.2,positive,slightly positive
k5Y_838nuGo,17,1.12,positive,slightly positive
k5Y_838nuGo,18,-0.86,negative,slightly negative
k5Y_838nuGo,19,0.31,positive,Neutral
