Video_id,Segment_id,Pred,Pred_binary,Pred_7
c7UH_rxdZv4,0,-1.78,negative,negative
c7UH_rxdZv4,1,-2.23,negative,very negative
c7UH_rxdZv4,2,-1.51,negative,negative
c7UH_rxdZv4,3,2.02,positive,positive
c7UH_rxdZv4,4,-1.82,negative,negative
c7UH_rxdZv4,5,-1.43,negative,negative
c7UH_rxdZv4,6,-2.29,negative,very negative
c7UH_rxdZv4,7,0.8,positive,slightly positive
c7UH_rxdZv4,8,0.98,positive,slightly positive
c7UH_rxdZv4,9,-1.37,negative,negative
c7UH_rxdZv4,10,1.21,positive,slightly positive
c7UH_rxdZv4,11,-1.99,negative,negative
c7UH_rxdZv4,12,-0.48,negative,slightly negative
c7UH_rxdZv4,13,1.02,positive,slightly positive
c7UH_rxdZv4,14,-1.82,negative,negative
c7UH_rxdZv4,15,-1.88,negative,negative
c7UH_rxdZv4,16,0.4,positive,Neutral
c7UH_rxdZv4,17,-1.4,negative,negative
c7UH_rxdZv4,18,0.76,positive,slightly positive
c7UH_rxdZv4,19,-0.34,negative,Neutral
c7UH_rxdZv4,20,0.9,positive,slightly positive
c7UH_rxdZv4,21,-1.78,negative,negative
c7UH_rxdZv4,22,-1.82,negative,negative
c7UH_rxdZv4,23,-2.0,negative,negative
c7UH_rxdZv4,24,0.78,positive,slightly positive
c7UH_rxdZv4,25,0.17,positive,Neutral
c7UH_rxdZv4,26,0.43,positive,Neutral
c7UH_rxdZv4,27,1.24,positive,slightly positive
c7UH_rxdZv4,28,0.65,positive,slightly positive
c7UH_rxdZv4,29,1.45,positive,positive
c7UH_rxdZv4,30,-0.08,negative,Neutral
c7UH_rxdZv4,31,-1.95,negative,negative
c7UH_rxdZv4,32,-1.91,negative,negative
cM3Yna7AavY,0,-0.49,negative,slightly negative
cM3Yna7AavY,1,0.52,positive,slightly positive
cM3Yna7AavY,2,-0.33,negative,Neutral
cM3Yna7AavY,3,-0.21,negative,Neutral
cM3Yna7AavY,4,-2.15,negative,very negative
cM3Yna7AavY,5,2.73,positive,very positive
cM3Yna7AavY,6,2.44,positive,very positive
cM3Yna7AavY,7,-1.68,negative,negative
cM3Yna7AavY,8,0.25,positive,Neutral
cM3Yna7AavY,9,1.23,positive,slightly positive
cM3Yna7AavY,10,1.37,positive,positive
cM3Yna7AavY,11,0.41,positive,Neutral
cM3Yna7AavY,12,-1.53,negative,negative
cM3Yna7AavY,13,-1.75,negative,negative
cM3Yna7AavY,14,2.37,positive,very positive
cM3Yna7AavY,15,-0.17,negative,Neutral
cW1FSBF59ik,0,-1.8,negative,negative
cW1FSBF59ik,1,1.99,positive,positive
cW1FSBF59ik,2,-0.72,negative,slightly negative
cW1FSBF59ik,3,2.01,positive,positive
cW1FSBF59ik,4,0.05,positive,Neutral
cW1FSBF59ik,5,1.61,positive,positive
cW1FSBF59ik,6,0.67,positive,slightly positive
