Video_id,Segment_id,Pred,Pred_binary,Pred_7
c7UH_rxdZv4,0,-0.95,negative,slightly negative
c7UH_rxdZv4,1,-1.05,negative,slightly negative
c7UH_rxdZv4,2,-0.57,negative,slightly negative
c7UH_rxdZv4,3,1.41,positive,positive
c7UH_rxdZv4,4,-1.47,negative,negative
c7UH_rxdZv4,5,0.22,positive,Neutral
c7UH_rxdZv4,6,-1.23,negative,slightly negative
c7UH_rxdZv4,7,1.44,positive,positive
c7UH_rxdZv4,8,1.64,positive,positive
c7UH_rxdZv4,9,0.91,positive,slightly positive
c7UH_rxdZv4,10,1.56,positive,positive
c7UH_rxdZv4,11,-1.43,negative,negative
c7UH_rxdZv4,12,-0.51,negative,slightly negative
c7UH_rxdZv4,13,1.61,positive,positive
c7UH_rxdZv4,14,-1.37,negative,negative
c7UH_rxdZv4,15,-1.3,negative,negative
c7UH_rxdZv4,16,1.03,positive,slightly positive
c7UH_rxdZv4,17,-1.15,negative,slightly negative
c7UH_rxdZv4,18,0.77,positive,slightly positive
c7UH_rxdZv4,19,0.16,positive,Neutral
c7UH_rxdZv4,20,1.03,positive,slightly positive
c7UH_rxdZv4,21,-1.0,negative,slightly negative
c7UH_rxdZv4,22,1.39,positive,positive
c7UH_rxdZv4,23,-1.59,negative,negative
c7UH_rxdZv4,24,1.39,positive,positive
c7UH_rxdZv4,25,-1.03,negative,slightly negative
c7UH_rxdZv4,26,1.06,positive,slightly positive
c7UH_rxdZv4,27,1.58,positive,positive
c7UH_rxdZv4,28,1.2,positive,slightly positive
c7UH_rxdZv4,29,1.63,positive,positive
c7UH_rxdZv4,30,-0.03,negative,Neutral
c7UH_rxdZv4,31,-0.52,negative,slightly negative
c7UH_rxdZv4,32,-0.84,negative,slightly negative
cM3Yna7AavY,0,-0.19,negative,Neutral
cM3Yna7AavY,1,1.19,positive,slightly positive
cM3Yna7AavY,2,0.59,positive,slightly positive
cM3Yna7AavY,3,0.7,positive,slightly positive
cM3Yna7AavY,4,-0.39,negative,Neutral
cM3Yna7AavY,5,2.44,positive,very positive
cM3Yna7AavY,6,2.4,positive,very positive
cM3Yna7AavY,7,-0.99,negative,slightly negative
cM3Yna7AavY,8,1.1,positive,slightly positive
cM3Yna7AavY,9,2.03,positive,positive
cM3Yna7AavY,10,1.97,positive,positive
cM3Yna7AavY,11,0.56,positive,slightly positive
cM3Yna7AavY,12,-1.02,negative,slightly negative
cM3Yna7AavY,13,-1.23,negative,slightly negative
cM3Yna7AavY,14,-1.51,negative,negative
cM3Yna7AavY,15,-0.26,negative,Neutral
cW1FSBF59ik,0,-0.59,negative,slightly negative
cW1FSBF59ik,1,1.94,positive,positive
cW1FSBF59ik,2,-0.21,negative,Neutral
cW1FSBF59ik,3,2.48,positive,very positive
cW1FSBF59ik,4,0.78,positive,slightly positive
cW1FSBF59ik,5,2.05,positive,positive
cW1FSBF59ik,6,1.03,positive,slightly positive
cW1FSBF59ik,7,2.37,positive,very positive
cW1FSBF59ik,8,-1.04,negative,slightly negative
cW1FSBF59ik,9,2.26,positive,very positive
